Calories,"Protein
(g)","Total Fat
(g)","Carbs
(g)","Sugars
(g)","Sodium 
(mg)","Trans Fat
(g)",Protein_per_Calorie,Fat_per_Calorie,Carbs_per_Calorie,Company_Burger King,Company_KFC,Company_McDonald’s,Company_Pizza Hut,Company_Taco Bell,Company_Wendy’s,Item,Company
250.0,12.0,9.0,31.0,6.0,520.0,0.5,0.048,0.036,0.124,0.0,0.0,1.0,0.0,0.0,0.0,Hamburger,McDonald’s
300.0,15.0,12.0,33.0,6.0,750.0,0.5,0.05,0.04,0.11,0.0,0.0,1.0,0.0,0.0,0.0,Cheeseburger,McDonald’s
440.0,25.0,23.0,34.0,7.0,1150.0,1.5,0.056818181818181816,0.05227272727272727,0.07727272727272727,0.0,0.0,1.0,0.0,0.0,0.0,Double Cheeseburger,McDonald’s
390.0,22.0,19.0,33.0,7.0,920.0,1.0,0.05641025641025641,0.04871794871794872,0.08461538461538462,0.0,0.0,1.0,0.0,0.0,0.0,McDouble,McDonald’s
510.0,29.0,26.0,40.0,9.0,1190.0,1.5,0.056862745098039215,0.050980392156862744,0.0784313725490196,0.0,0.0,1.0,0.0,0.0,0.0, Quarter Pounder® with Cheese,McDonald’s
740.0,48.0,42.0,40.0,9.0,1380.0,2.5,0.06486486486486487,0.05675675675675676,0.05405405405405406,0.0,0.0,1.0,0.0,0.0,0.0,Double Quarter Pounder® with Cheese,McDonald’s
540.0,25.0,29.0,45.0,9.0,1040.0,1.5,0.046296296296296294,0.053703703703703705,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,Big Mac®,McDonald’s
460.0,24.0,24.0,37.0,8.0,720.0,1.5,0.05217391304347826,0.05217391304347826,0.08043478260869565,0.0,0.0,1.0,0.0,0.0,0.0,Big N’ Tasty®,McDonald’s
510.0,27.0,28.0,38.0,8.0,960.0,1.5,0.052941176470588235,0.054901960784313725,0.07450980392156863,0.0,0.0,1.0,0.0,0.0,0.0,Big N’ Tasty® with Cheese,McDonald’s
790.0,45.0,39.0,63.0,13.0,2070.0,2.0,0.056962025316455694,0.049367088607594936,0.07974683544303797,0.0,0.0,1.0,0.0,0.0,0.0,Angus Bacon & Cheese,McDonald’s
750.0,40.0,39.0,61.0,10.0,1700.0,2.0,0.05333333333333334,0.052,0.08133333333333333,0.0,0.0,1.0,0.0,0.0,0.0,Angus Deluxe,McDonald’s
770.0,44.0,40.0,59.0,8.0,1170.0,2.0,0.05714285714285714,0.05194805194805195,0.07662337662337662,0.0,0.0,1.0,0.0,0.0,0.0,Angus Mushroom & Swiss,McDonald’s
380.0,15.0,18.0,38.0,5.0,640.0,0.0,0.039473684210526314,0.04736842105263158,0.1,0.0,0.0,1.0,0.0,0.0,0.0,Filet-O-Fish®,McDonald’s
360.0,14.0,16.0,40.0,5.0,830.0,0.0,0.03888888888888889,0.044444444444444446,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,McChicken ®,McDonald’s
500.0,22.0,26.0,44.0,11.0,980.0,0.0,0.044,0.052,0.088,0.0,0.0,1.0,0.0,0.0,0.0,McRib ®,McDonald’s
360.0,27.0,9.0,41.0,8.0,820.0,0.0,0.075,0.025,0.11388888888888889,0.0,0.0,1.0,0.0,0.0,0.0,Premium Grilled Chicken Classic Sandwich,McDonald’s
510.0,24.0,22.0,56.0,10.0,990.0,0.0,0.047058823529411764,0.043137254901960784,0.10980392156862745,0.0,0.0,1.0,0.0,0.0,0.0,Premium Crispy Chicken Classic Sandwich,McDonald’s
460.0,35.0,17.0,43.0,9.0,1040.0,0.0,0.07608695652173914,0.03695652173913044,0.09347826086956522,0.0,0.0,1.0,0.0,0.0,0.0,Premium Grilled Chicken Club Sandwich,McDonald’s
620.0,31.0,29.0,57.0,11.0,1200.0,0.0,0.05,0.0467741935483871,0.09193548387096774,0.0,0.0,1.0,0.0,0.0,0.0,Premium Crispy Chicken Club Sandwich,McDonald’s
380.0,31.0,10.0,41.0,9.0,1000.0,0.0,0.08157894736842106,0.02631578947368421,0.10789473684210527,0.0,0.0,1.0,0.0,0.0,0.0,Premium Grilled Chicken Ranch BLT Sandwich,McDonald’s
540.0,27.0,23.0,56.0,11.0,1160.0,0.0,0.05,0.04259259259259259,0.1037037037037037,0.0,0.0,1.0,0.0,0.0,0.0,Premium Crispy Chicken Ranch BLT Sandwich,McDonald’s
400.0,24.0,17.0,39.0,6.0,1030.0,0.0,0.06,0.0425,0.0975,0.0,0.0,1.0,0.0,0.0,0.0,Southern Style Crispy Chicken Sandwich,McDonald’s
340.0,14.0,17.0,33.0,2.0,810.0,0.0,0.041176470588235294,0.05,0.09705882352941177,0.0,0.0,1.0,0.0,0.0,0.0,Ranch Snack Wrap® (Crispy),McDonald’s
270.0,18.0,10.0,26.0,2.0,830.0,0.0,0.06666666666666667,0.037037037037037035,0.0962962962962963,0.0,0.0,1.0,0.0,0.0,0.0,Ranch Snack Wrap® (Grilled),McDonald’s
330.0,14.0,16.0,34.0,4.0,780.0,0.0,0.04242424242424243,0.048484848484848485,0.10303030303030303,0.0,0.0,1.0,0.0,0.0,0.0,Honey Mustard Snack Wrap® (Crispy),McDonald’s
260.0,18.0,9.0,27.0,4.0,800.0,0.0,0.06923076923076923,0.03461538461538462,0.10384615384615385,0.0,0.0,1.0,0.0,0.0,0.0,Honey Mustard Snack Wrap® (Grilled),McDonald’s
330.0,14.0,15.0,35.0,4.0,810.0,0.0,0.04242424242424243,0.045454545454545456,0.10606060606060606,0.0,0.0,1.0,0.0,0.0,0.0,Chipotle BBQ Snack Wrap® (Crispy),McDonald’s
260.0,18.0,9.0,28.0,5.0,830.0,0.0,0.06923076923076923,0.03461538461538462,0.1076923076923077,0.0,0.0,1.0,0.0,0.0,0.0,Chipotle BBQ Snack Wrap® (Grilled),McDonald’s
390.0,21.0,21.0,28.0,4.0,1080.0,1.0,0.05384615384615385,0.05384615384615385,0.07179487179487179,0.0,0.0,1.0,0.0,0.0,0.0,Angus Bacon & Cheese Snack Wrap,McDonald’s
800.0,45.0,39.0,66.0,16.0,2020.0,2.0,0.05625,0.04875,0.0825,0.0,0.0,1.0,0.0,0.0,0.0,Angus Chipotle BBQ Bacon,McDonald’s
400.0,21.0,22.0,30.0,6.0,1060.0,1.0,0.0525,0.055,0.075,0.0,0.0,1.0,0.0,0.0,0.0,Angus Chipotle BBQ Bacon Snack Wrap,McDonald’s
410.0,20.0,25.0,27.0,3.0,990.0,1.5,0.04878048780487805,0.06097560975609756,0.06585365853658537,0.0,0.0,1.0,0.0,0.0,0.0,Angus Deluxe Snack Wrap,McDonald’s
430.0,22.0,26.0,27.0,2.0,730.0,1.5,0.05116279069767442,0.06046511627906977,0.06279069767441861,0.0,0.0,1.0,0.0,0.0,0.0,Angus Mushroom & Swiss Snack Wrap,McDonald’s
330.0,15.0,19.0,26.0,3.0,690.0,1.0,0.045454545454545456,0.05757575757575758,0.07878787878787878,0.0,0.0,1.0,0.0,0.0,0.0,Mac Snack Wrap,McDonald’s
230.0,3.0,11.0,29.0,0.0,160.0,0.0,0.013043478260869565,0.04782608695652174,0.12608695652173912,0.0,0.0,1.0,0.0,0.0,0.0,Small French Fries,McDonald’s
380.0,4.0,19.0,48.0,0.0,270.0,0.0,0.010526315789473684,0.05,0.12631578947368421,0.0,0.0,1.0,0.0,0.0,0.0,Medium French Fries,McDonald’s
500.0,6.0,25.0,63.0,0.0,350.0,0.0,0.012,0.05,0.126,0.0,0.0,1.0,0.0,0.0,0.0,Large French Fries,McDonald’s
15.0,0.0,0.0,3.0,2.0,110.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,Ketchup Packet,McDonald’s
0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,Salt Packet,McDonald’s
190.0,9.0,12.0,12.0,0.0,360.0,0.0,0.04736842105263158,0.06315789473684211,0.06315789473684211,0.0,0.0,1.0,0.0,0.0,0.0,Chicken McNuggets® (4 piece),McDonald’s
280.0,13.0,18.0,18.0,0.0,540.0,0.0,0.04642857142857143,0.06428571428571428,0.06428571428571428,0.0,0.0,1.0,0.0,0.0,0.0,Chicken McNuggets® (6 piece),McDonald’s
470.0,22.0,30.0,30.0,0.0,900.0,0.0,0.04680851063829787,0.06382978723404255,0.06382978723404255,0.0,0.0,1.0,0.0,0.0,0.0,Chicken McNuggets® (10 piece),McDonald’s
50.0,0.0,0.0,12.0,10.0,260.0,0.0,0.0,0.0,0.24,0.0,0.0,1.0,0.0,0.0,0.0,Barbeque Sauce,McDonald’s
50.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,1.0,0.0,0.0,0.0,Honey,McDonald’s
