Gender,10percentage,12graduation,12percentage,CollegeID,CollegeTier,collegeGPA,CollegeCityID,CollegeCityTier,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
0,87.8,2009,84.0,6920,1,73.82,6920,1,2013,650,665,810,0.694479327708463,485,366,-1,-1,-1,-1,-1,-0.159,0.3789,1.2396,0.1459,0.2889
1,57.0,2010,64.5,6624,2,65.0,6624,0,2014,440,435,210,0.342314899911815,365,-1,-1,-1,-1,-1,-1,1.1336,0.0459,1.2396,0.5262,-0.2859
1,77.33,2007,85.17,9084,2,61.94,9084,0,2011,485,475,505,0.824666400671332,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875
1,84.3,2009,86.0,8195,1,80.4,8195,1,2013,675,620,635,0.990008756723898,655,-1,-1,-1,-1,-1,-1,-0.4463,0.2124,0.3174,0.2727,0.4805
0,82.0,2008,75.0,4889,2,64.3,4889,1,2012,575,495,365,0.278457409311292,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.0622299999999999,0.1864
0,83.16,2007,77.0,10950,1,99.93,10950,0,2013,535,595,620,0.376059586651545,455,300,-1,-1,-1,313,-1,0.8463,-0.6201,-0.7585,-0.995,-0.2859
0,72.5,2007,53.2,14381,2,68.0,14381,1,2013,510,495,405,0.829584599793067,-1,-1,-1,469,-1,-1,-1,0.1282,-0.4536,0.3174,0.9066,-0.0943
0,77.0,2009,88.0,13208,2,71.0,13208,1,2013,370,470,280,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.1282,0.5454,0.4711,0.9066,-0.2859
1,76.8,2010,87.7,5338,2,73.15,5338,0,2014,510,555,440,0.744758354008939,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943
0,57.0,2009,73.0,8346,2,70.08,8346,0,2014,500,410,560,0.622642915849938,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721
1,77.0,2008,75.0,13424,2,62.0,13424,0,2013,675,630,485,0.207392169717661,405,260,-1,-1,-1,-1,-1,1.7081,0.5454,0.9322,-0.4879,0.8637
1,81.2,2008,79.9,64,2,67.67,64,0,2013,395,565,645,-1.0,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721
0,85.0,2009,88.0,57,2,85.0,57,0,2013,495,445,605,0.765673581234011,485,-1,-1,-1,-1,-1,-1,-1.9629,-2.1903,-2.775,0.4148,-0.4455
0,90.0,2009,82.1,2998,2,85.0,2998,0,2014,640,530,705,0.486747008438193,615,-1,376,-1,-1,-1,-1,0.99,0.7119,-0.1437,-1.1218,0.8637
1,86.4,2009,86.2,1906,2,81.4,1906,1,2014,720,630,750,0.338786347219528,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721
1,84.13,2008,77.0,3801,2,75.2,3801,0,2012,385,515,465,0.525922584252055,415,-1,-1,-1,-1,-1,-1,0.1623,0.9688,1.1074,0.4442,-0.1295
1,81.7,2005,75.8,5508,2,78.7,5508,0,2011,475,245,485,0.735795709224656,475,-1,-1,-1,-1,-1,-1,-1.3447,-1.3713,-0.4891,0.1798,1.2923
0,86.0,2010,89.0,429,2,73.9,429,0,2014,520,570,620,0.953899775079926,425,-1,530,-1,-1,-1,-1,1.2772,0.0459,0.6248,-1.3753,0.6721
1,66.15,2009,54.0,3603,2,66.0,3603,0,2013,360,495,280,0.793580614548506,495,-1,-1,-1,-1,-1,-1,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934
1,79.29,2009,68.67,5298,2,76.0,5298,0,2013,545,505,595,0.356536487724475,555,-1,346,-1,-1,-1,-1,0.2718,0.7119,0.3174,-0.1076,1.4386
1,60.0,2006,50.0,11013,2,69.94,11013,0,2013,240,340,430,0.143256541032196,295,-1,-1,-1,-1,-1,-1,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692
0,58.4,2008,64.8,85,2,80.0,85,0,2014,440,415,554,0.793580614548506,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543
1,61.0,2003,59.0,3716,2,63.0,3716,1,2011,355,565,495,0.930370607202691,565,-1,-1,-1,-1,-1,-1,-0.880999999999999,0.6568,0.672,1.4724,0.3444
1,50.0,2008,64.0,7564,2,70.0,7564,0,2011,345,365,445,0.538386892985096,-1,333,-1,-1,-1,-1,-1,-0.4173,-1.3713,0.9042,1.5578,0.3444
0,67.06,2008,70.67,13271,2,55.5,13271,1,2012,440,440,385,0.144789889482462,435,-1,284,-1,-1,-1,-1,1.1336,-0.2871,-0.1437,0.1459,0.2889
0,67.0,2008,61.0,16664,2,75.0,16664,0,2012,370,410,320,0.488347976782714,405,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,-0.9122,-0.6147,-0.6692
1,73.0,2009,71.0,9699,2,61.0,9699,1,2013,180,365,310,0.0745462652358558,255,433,-1,313,-1,-1,322,-2.0262,-1.9521,-2.6028,0.0192,-2.5853
1,86.17,2006,78.6,2857,1,73.34,2857,1,2010,505,495,695,0.987207085890868,645,-1,-1,-1,-1,-1,-1,-1.4992,0.5008,0.2366,0.6498,0.6603
1,78.0,2009,75.0,7765,2,73.0,7765,0,2014,630,555,570,0.0669607065028304,-1,-1,-1,253,-1,-1,-1,1.7081,-0.1206,0.01,-1.7556,0.2889
1,71.8,2007,68.2,267,2,76.5,267,0,2012,615,590,585,-1.0,485,-1,-1,-1,-1,-1,-1,-0.159,-0.7866,-0.7585,0.1459,-2.0105
1,66.66,2005,80.4,64,2,64.29,64,0,2011,525,505,575,0.901489571371033,545,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.1727,-0.1295
1,85.0,2009,81.0,1906,2,76.7,1906,1,2013,455,530,440,0.622642915849938,455,-1,407,-1,-1,-1,-1,1.7081,0.8784,1.7007,0.1459,0.8637
0,83.6,2008,74.0,55,2,71.0,55,0,2013,615,595,720,0.987207085890868,645,-1,-1,-1,-1,-1,-1,-0.7335,0.0459,0.6248,-0.6147,0.2889
1,61.69,2008,60.66,285,1,77.5,285,0,2014,440,605,520,0.356536487724475,575,-1,346,-1,-1,-1,-1,0.5591,0.3789,0.6248,0.3995,-1.0524
1,85.0,2009,82.0,6566,2,81.0,6566,1,2013,730,525,690,0.694479327708463,465,366,-1,-1,-1,393,-1,0.99,0.2124,0.6248,0.2727,-1.0524
1,80.13,2008,69.17,5696,2,60.34,5696,0,2012,590,440,385,0.996744486852253,475,-1,623,-1,-1,-1,-1,-0.5899,-0.6201,0.4711,-0.3612,-0.2859
1,82.5,2009,85.0,11352,2,75.0,11352,1,2013,545,485,530,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.1282,-1.9521,-0.6048,0.653,0.6721
1,63.5,2010,65.72,5081,2,60.0,5081,0,2014,430,460,320,0.23780283983757,355,-1,315,-1,-1,-1,-1,0.5591,1.0449,0.3174,-0.2344,0.6721
1,64.0,2010,62.0,17244,2,75.0,17244,0,2014,345,470,365,0.356536487724475,435,-1,346,-1,-1,-1,-1,-0.3027,-0.4536,-2.4491,1.0333,-0.2859
1,76.0,2005,61.0,2088,2,85.0,2088,0,2012,464,475,575,0.960903087163164,595,-1,-1,-1,-1,-1,-1,-1.4992,-1.3713,-0.6343,0.1798,-1.1169
1,73.0,2008,76.0,10930,2,74.0,10930,1,2013,465,570,415,0.356536487724475,575,-1,346,-1,-1,-1,-1,-1.5953,-0.1206,0.3174,0.2727,-1.4356
1,91.0,2008,83.0,5050,2,71.0,5050,0,2012,475,495,565,0.930370607202691,565,-1,-1,-1,-1,-1,-1,1.1283,0.6568,-0.344,-0.7603,-0.4455
1,65.0,2007,47.6,1753,2,63.0,1753,0,2013,415,365,475,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.2009,-0.7473,0.3817,0.5323,0.3444
1,70.16,2007,66.8,272,2,69.7,272,0,2014,275,485,530,0.486747008438193,475,-1,376,-1,-1,-1,-1,-0.4463,-1.1196,0.01,0.5262,-0.0943
1,74.6,2005,80.8,67,2,72.45,67,0,2010,535,415,635,0.960603251997053,-1,466,-1,-1,-1,-1,-1,0.8192,0.3448,1.1074,-0.1727,1.4502
1,66.5,2008,66.4,172,2,66.0,172,0,2013,500,560,560,0.376059586651545,-1,300,-1,-1,-1,-1,-1,-0.5719,0.8351,0.2477,-0.6428,-0.4455
1,78.4,2009,58.4,11013,2,76.5,11013,0,2013,545,535,605,0.986525019020638,-1,-1,-1,580,-1,-1,-1,-0.3027,1.5444,0.3174,1.5404,0.8637
1,62.0,2002,62.0,395,2,72.02,395,0,2010,505,445,575,0.864685413370085,525,-1,-1,-1,-1,-1,-1,0.0464,0.2668,-1.7954,-0.6428,-1.2354
1,52.93,2008,64.0,4793,2,73.0,4793,0,2014,325,375,370,0.911395278391328,495,-1,500,-1,-1,-1,-1,0.2718,-0.1206,0.3174,-1.8824,-0.4776
1,82.0,2008,81.0,77,2,64.0,77,0,2012,625,585,530,0.376059586651545,-1,300,-1,-1,-1,-1,-1,0.7419,0.8128,-1.6502,-0.8778,-0.2875
1,78.0,2008,69.0,3717,2,75.0,3717,1,2012,355,485,425,0.0587928000083534,325,200,-1,-1,-1,-1,-1,-0.2628,-0.5913,-0.1988,1.2374,-0.168999999999999
1,65.0,2008,65.4,1887,1,67.72,1887,0,2014,490,615,725,0.744758354008939,595,-1,438,-1,-1,-1,-1,-0.3027,-0.7866,-1.527,1.9207,-1.6273
1,70.2,2007,68.4,49,1,60.4,49,0,2011,544,415,504,0.0587928000083534,335,200,-1,-1,-1,-1,-1,-0.5719,-0.2793,0.672,-0.6428,-0.2875
0,93.0,2010,89.0,8895,2,83.0,8895,0,2014,345,495,325,0.622642915849938,445,-1,407,-1,-1,-1,-1,-0.7335,0.0459,-0.1437,1.0333,-0.8608
1,53.4,2010,66.0,387,2,60.62,387,0,2014,300,520,330,0.744758354008939,335,-1,438,-1,-1,-1,-1,-0.3027,0.2124,1.0859,1.1601,-0.4776
