
Country,Population,Growth Rate
Afghanistan,41128771,1.0257
Albania,2842321,0.9957
Algeria,44903225,1.0164
American Samoa,44273,0.9831
Andorra,79824,1.01
Angola,35588987,1.0353
Antigua and Barbuda,93763,1.0058
Argentina,46222103,1.0127
Armenia,2780469,0.9971
Aruba,107609,1.0036
Australia,26177413,1.012
Austria,9005858,1.004
Azerbaijan,10358074,1.0096
Bahamas,409984,1.0111
Bahrain,1472233,1.0032
Bangladesh,171186372,1.007
Barbados,281995,0.9987
Belarus,9498200,0.9937
Belgium,11655980,1.0047
Belize,412190,1.0134
Benin,13044776,1.0253
Bermuda,63951,0.9982
Bhutan,777486,1.0051
Bolivia,12224110,1.0127
Bosnia and Herzegovina,3238471,0.9963
Botswana,2630296,1.012
Brazil,215313498,1.006
Brunei,449002,1.0045
Bulgaria,6851709,0.993
Burkina Faso,22673762,1.0246
Burundi,12889577,1.0313
Cambodia,16767842,1.014
Cameroon,27911548,1.0257
Canada,38454327,1.0118
Cape Verde,592125,1.01
Central African Republic,5579144,1.02
Chad,18145522,1.0291
Chile,19626596,1.0048
China,1412600000,0.998
Colombia,51533798,1.0096
Comoros,836774,1.0231
Costa Rica,5168053,1.0085
Croatia,4059286,0.994
Cuba,11223811,0.998
Cyprus,1255630,1.007
Czech Republic,10827529,1.0032
Denmark,5882765,1.0048
Djibouti,1120849,1.0178
Dominica,72412,1.003
Dominican Republic,11228821,1.0087
East Timor,1381790,1.0153
Ecuador,18001000,1.01
Egypt,110990103,1.0175
El Salvador,6550380,1.002
Equatorial Guinea,1714670,1.0178
Eritrea,3649714,1.0196
Estonia,1332178,0.9985
Eswatini,1210822,1.012
Ethiopia,126527060,1.028
Fiji,924610,1.007
Finland,5545475,0.9996
France,64756584,1.0025
Gabon,2402666,1.01
Gambia,2817223,1.0247
Georgia,3720161,0.9975
Germany,83294633,1.003
Ghana,34121985,1.02
Greece,10341277,0.998
Grenada,125438,1.0026
Guatemala,18274023,1.02
Guinea,14022149,1.026
Guinea-Bissau,2150586,1.0218
Guyana,808726,1.0055
Haiti,11584957,1.01
Honduras,10520000,1.011
Hungary,9594000,0.994
Iceland,372899,1.007
India,1417173173,1.013
Indonesia,275773800,1.009
Iran,89172779,1.0097
Iraq,45504560,1.027
Ireland,5084910,1.011
Israel,9584000,1.0154
Italy,58853482,0.999
Jamaica,2817232,1.0025
Japan,123951692,0.998
Jordan,11356218,1.015
Kazakhstan,19606633,1.014
Kenya,54564787,1.02
Kiribati,133515,1.011
Kuwait,4430664,1.0087
Kyrgyzstan,6823300,1.022
Laos,7434822,1.016
Latvia,1848837,0.9965
Lebanon,5489000,1.006
Lesotho,2305829,1.011
Liberia,5305117,1.02
Libya,7037461,1.012
Liechtenstein,38896,1.008
Lithuania,2750639,0.995
Luxembourg,660809,1.012
Madagascar,29608770,1.027
Malawi,20510207,1.025
Malaysia,33938221,1.009
Maldives,521457,1.013
Mali,22593590,1.03
Malta,537297,1.005
Mauritania,4845800,1.026
Mauritius,1294104,1.0043
Mexico,127504125,1.01
Micronesia,54300,1.008
Moldova,3309000,0.995
Monaco,36000,1.001
Mongolia,3425306,1.016
Montenegro,621306,0.999
Morocco,37772756,1.013
Mozambique,33663000,1.028
Myanmar,54600000,1.005
Namibia,2625810,1.012
Nauru,11200,1.004
Nepal,29187000,1.013
Netherlands,17515000,1.004
New Zealand,5137000,1.004
Nicaragua,6811000,1.01
Niger,26208000,1.032
Nigeria,218541212,1.025
North Korea,26060000,1.001
North Macedonia,2069700,0.999
Norway,5421000,1.005
Oman,4622000,1.008
Pakistan,235825000,1.019
Palau,18000,1.002
Panama,4410000,1.01
Papua New Guinea,10290000,1.017
Paraguay,7140000,1.015
Peru,34270000,1.009
Philippines,113880000,1.012
Poland,37000000,0.997
Portugal,10300000,1.002
Qatar,3030000,1.006
Romania,19000000,0.993
Russia,144000000,1.002
Rwanda,13800000,1.021
Saint Kitts and Nevis,48000,1.005
Saint Lucia,179000,1.003
Saint Vincent and the Grenadines,101000,1.002
Samoa,206000,1.006
San Marino,35000,1.001
Sao Tome and Principe,231000,1.021
Saudi Arabia,35500000,1.018
Senegal,17800000,1.024
Serbia,6800000,0.995
Seychelles,99000,1.005
Sierra Leone,8400000,1.025
Singapore,5900000,1.006
Slovakia,5500000,0.999
Slovenia,2100000,1.001
Solomon Islands,740000,1.016
Somalia,18500000,1.028
South Africa,60400000,1.01
South Korea,51500000,1.001
South Sudan,11000000,1.027
Spain,47400000,1.003
Sri Lanka,22000000,1
Sudan,46000000,1.019
Suriname,610000,1.004
Sweden,10500000,1.004
Switzerland,8800000,1.008
Syria,22000000,1
Taiwan,23800000,1.002
Tajikistan,9600000,1.023
Tanzania,65000000,1.028
Thailand,72000000,1.004
Togo,9000000,1.025
Tonga,105000,1.003
Trinidad and Tobago,1540000,1.002
Tunisia,12100000,1.005
Turkey,85000000,1.01
Tuvalu,11000,1.002
Uganda,47000000,1.027
Ukraine,41000000,0.99
United Arab Emirates,10000000,1.006
United Kingdom,67000000,1.002
United States,334000000,1.005
Uruguay,3500000,1.003
Uzbekistan,35000000,1.02
Vanuatu,320000,1.017
Vatican City,800,1.001
Venezuela,28000000,1.01
Vietnam,98000000,1.01
Yemen,31000000,1.022
Zambia,20000000,1.027
Zimbabwe,16000000,1.024
